apkname,security_score,target_sdk,min_sdk,average_cvss,host_os,virus_total
lidl-offers-leaflets_4.15.3(#126).apk,10,30,21,6.5,windows,None
mario-mod-for-minecraft-pe_1.0.apk,10,29,17,6.6,windows,None
payback-dein-pers\xc3\xb6nlicher-shopping-assistent_21.03.10770.apk,10,30,23,6.1,windows,None
lovoo_96.1.apk,10,30,23,6.3,windows,None
ikea_2.23.1.apk,10,30,24,6.4,windows,None
post-dhl_6.2.18.apk,10,29,23,6.4,windows,None
birdnet-bird-sound-identification_1.83.apk,45,30,21,6.8,windows,None
wayfair-shop-all-things-home_5.91.apk,10,29,24,6.3,windows,None
ard-mediathek_8.7.0.apk,30,29,21,6.5,windows,None
picsart-photo-editor-pic-video-collage-maker_16.8.2.apk,10,29,21,6.1,windows,None
corona-warn-app_1.15.2.apk,40,29,23,6.4,windows,None
telegram_7.6.0.apk,10,29,23,6.6,windows,None
komoot-\xe2\x80\x94-cycling-hiking-mountain-biking-maps_11.1.7.apk,15,30,21,7.1,windows,None
aldi-talk_6.2.65.1.apk,10,29,16,5.9,windows,None
faceapp-face-editor-makeover-beauty-app_4.3.4.apk,5,29,21,6.6,windows,None
free-qr-scanner-barcode-scanner-qr-code-scanner_2.4.2.GP.apk,10,29,19,6.6,windows,None
adobe-lightroom-photo-editor-pro-camera_6.2.0.apk,10,29,23,6.4,windows,None
google-lens_1.13.201020059.apk,0,29,23,6.6,windows,None
furniture-mod-for-minecraft-pe-mcpe_8.0.apk,15,29,19,6.7,windows,None
screen-recorder-video-recorder-xrecorder_1.4.3.1.apk,10,29,21,6.6,windows,None
bonprix-\xe2\x80\x93-shopping-fashion-more_1.47.0 -googlePlayStore.apk,10,29,22,6.3,windows,None
sky-go_21.3.1.1.apk,10,29,22,6.1,windows,None
pi-network_1.30.3.apk,10,29,16,6.5,windows,None
bikemap-your-cycling-map-gps-navigation_12.1.0.apk,0,30,21,6.6,windows,None
avira-antivirus-2021-virus-cleaner-vpn_7.6.0.apk,10,29,23,6.3,windows,None
opera-news-breaking-local-us-headlines_8.4.2254.56482.apk,10,29,21,6.5,windows,None
qr-code-barcode-scanner-no-ads_2.5.0.apk,50,30,21,6.5,windows,None
geocaching\xc2\xae_8.42.0.apk,0,29,19,6.3,windows,None
picsart-color-painting-drawing-sketch_2.8.3.apk,5,29,21,6.3,windows,None
canva-graphic-design-video-collage-logo-maker_2.104.0.apk,10,29,21,6.5,windows,None
qr-barcode-reader_2.6.9-L.apk,75,29,23,6.3,windows,None
amazon-prime-video_3.0.293.4647.apk,10,29,21,6.1,windows,None
sparkasse-ihre-mobile-filiale_5.10.2.apk,0,29,23,6.2,windows,None
