b'faceapp-face-editor-makeover-beauty-app_4.3.4.apk',android_logging,android_sql_raw_query,android_hardcoded,android_read_write_external,android_insecure_random,android_detect_root,android_temp_file,android_ssl_pinning,android_sha1,android_md5,
b'free-qr-scanner-barcode-scanner-qr-code-scanner_2.4.2.GP.apk',android_logging,android_detect_root,android_insecure_random,android_clipboard_copy,android_hardcoded,android_md5,android_webview,android_temp_file,android_read_write_external,android_sql_raw_query,android_ssl_pinning,android_ip_disclosure,android_sha1,
b'adobe-lightroom-photo-editor-pro-camera_6.2.0.apk',android_logging,android_read_write_external,android_insecure_random,android_temp_file,android_md5,android_hardcoded,android_aws_ecb_default,android_clipboard_copy,android_sql_raw_query,android_tapjacking,android_webview_debug,android_webview,android_write_app_dir,android_sha1,
b'google-lens_1.13.201020059.apk',android_logging,android_sha1,android_insecure_random,android_sql_raw_query,android_md5,android_read_write_external,android_hardcoded,android_detect_root,android_temp_file,
b'furniture-mod-for-minecraft-pe-mcpe_8.0.apk',android_logging,android_read_write_external,android_sql_raw_query,android_md5,android_insecure_random,android_hardcoded,android_detect_root,android_sha1,
b'screen-recorder-video-recorder-xrecorder_1.4.3.1.apk',android_logging,android_sql_raw_query,android_ip_disclosure,android_md5,android_insecure_random,android_hardcoded,android_read_write_external,android_clipboard_copy,android_sha1,android_insecure_ssl,android_ssl_pinning,android_temp_file,android_webview,
b'bonprix-\xe2\x80\x93-shopping-fashion-more_1.47.0 -googlePlayStore.apk',android_logging,android_ssl_pinning,android_hardcoded,android_insecure_random,android_md5,android_sha1,android_clipboard_copy,android_ip_disclosure,android_sql_raw_query,android_temp_file,android_read_write_external,
b'sky-go_21.3.1.1.apk',android_logging,android_write_app_dir,android_hardcoded,android_ssl_pinning,android_temp_file,android_ip_disclosure,android_md5,android_read_write_external,android_sql_raw_query,android_sha1,android_insecure_random,android_detect_root,android_rsa_no_oaep,android_su_detect,
b'pi-network_1.30.3.apk',android_logging,android_insecure_random,android_ip_disclosure,android_hardcoded,android_read_write_external,android_temp_file,android_clipboard_copy,android_sql_raw_query,android_webview,android_insecure_ssl,android_webview_debug,android_aes_ecb,android_md5,android_sha1,
b'bikemap-your-cycling-map-gps-navigation_12.1.0.apk',android_logging,android_hardcoded,android_insecure_random,android_webview,android_md5,android_read_write_external,android_clipboard_copy,android_write_app_dir,android_temp_file,android_sql_raw_query,
b'avira-antivirus-2021-virus-cleaner-vpn_7.6.0.apk',android_logging,android_hardcoded,android_ssl_pinning,android_ip_disclosure,android_sql_raw_query,android_sha1,android_insecure_random,android_safetynet,android_read_write_external,android_clipboard_copy,android_rsa_no_oaep,android_write_app_dir,android_md5,android_tapjacking,android_webview,android_temp_file,
b'opera-news-breaking-local-us-headlines_8.4.2254.56482.apk',android_logging,android_read_write_external,android_md5,android_sha1,android_insecure_random,android_temp_file,android_ip_disclosure,android_sql_raw_query,android_ssl_pinning,android_webview,android_hardcoded,android_clipboard_copy,android_webview_ignore_ssl,android_su_detect,android_webview_debug,android_detect_root,
b'qr-code-barcode-scanner-no-ads_2.5.0.apk',android_logging,android_sql_raw_query,android_sha1,android_insecure_random,android_detect_root,android_ssl_pinning,android_temp_file,android_clipboard_copy,
b'geocaching\xc2\xae_8.42.0.apk',android_hardcoded,android_logging,android_read_write_external,android_sql_raw_query,android_md5,android_sha1,android_ssl_pinning,android_temp_file,android_write_app_dir,android_insecure_random,
b'picsart-color-painting-drawing-sketch_2.8.3.apk',android_logging,android_insecure_random,android_read_write_external,android_clipboard_copy,android_sql_raw_query,android_md5,android_sha1,android_hardcoded,android_temp_file,android_write_app_dir,android_safetynet,android_detect_root,
b'canva-graphic-design-video-collage-logo-maker_2.104.0.apk',android_logging,android_write_app_dir,android_insecure_random,android_md5,android_temp_file,android_hardcoded,android_read_write_external,android_sql_raw_query,android_ssl_pinning,android_detect_root,android_clipboard_copy,android_sha1,android_aes_ecb,android_su_detect,android_webview,
b'qr-barcode-reader_2.6.9-L.apk',android_logging,android_sql_raw_query,android_ssl_pinning,android_clipboard_copy,android_read_write_external,
b'amazon-prime-video_3.0.293.4647.apk',android_logging,android_sql_raw_query,android_hardcoded,android_insecure_random,android_sha1,android_read_write_external,android_detect_root,android_webview_debug,android_ssl_pinning,android_clipboard_copy,android_md5,android_ip_disclosure,android_temp_file,android_hiddenui,
b'sparkasse-ihre-mobile-filiale_5.10.2.apk',android_logging,android_hardcoded,android_insecure_random,android_read_write_external,android_sql_cipher_aes256,android_sha1,android_clipboard_copy,android_ip_disclosure,android_write_app_dir,android_ssl_pinning,android_sql_raw_query,android_webview,android_detect_root,android_temp_file,
b'keepclean-booster-antivirus-battery-saver_4.2.6.apk',android_insecure_random,android_read_write_external,android_logging,android_md5,android_sql_raw_query,android_ip_disclosure,android_hardcoded,android_sha1,android_webview_debug,android_clipboard_copy,android_webview,android_temp_file,android_webview_ignore_ssl,android_detect_root,android_sql_cipher_aes256,
b'douglas-\xe2\x80\x93-parf\xc3\xbcm-kosmetik_9.0.2.apk',android_ip_disclosure,android_logging,android_read_write_external,android_clipboard_copy,android_md5,android_hardcoded,android_sql_raw_query,android_insecure_random,android_ssl_pinning,android_sha1,android_webview_debug,android_webview,android_detect_root,android_temp_file,
b'veryfitpro_3.2.8.apk',android_logging,android_hardcoded,android_insecure_random,android_sql_raw_query,android_ssl_pinning,android_ip_disclosure,android_read_write_external,android_md5,android_sha1,android_clipboard_copy,android_aws_ecb_default,android_aes_ecb,android_webview,android_sql_cipher_aes256,android_su_detect,android_detect_root,android_temp_file,
b'kostenlose-frohe-ostern-bilder-und-spr\xc3\xbcche-2021_1.1.apk',android_sha1,android_logging,android_insecure_random,android_read_write_external,
b'autodoc-\xe2\x80\x94-auto-parts-at-low-prices-online_1.8.6.apk',android_logging,android_insecure_random,android_sql_raw_query,android_ssl_pinning,android_su_detect,android_hardcoded,android_temp_file,android_detect_root,android_ip_disclosure,android_webview_ignore_ssl,android_read_write_external,android_clipboard_copy,android_md5,android_aws_ecb_default,android_sha1,
b'screen-mirroring-cast-to-tv-castto_2.4.6.apk',android_logging,android_ssl_pinning,android_write_app_dir,android_insecure_random,android_read_write_external,android_temp_file,
b'shein-fashion-shopping-online_7.5.2.apk',android_logging,android_hardcoded,android_insecure_random,android_read_write_external,android_clipboard_copy,android_temp_file,android_ssl_pinning,android_webview,android_sha1,android_sql_raw_query,android_ip_disclosure,android_webview_debug,android_md5,android_write_app_dir,android_aes_ecb,android_safetynet,android_detect_root,
b'vova_2.111.0.apk',android_hardcoded,android_logging,android_md5,android_sha1,android_ip_disclosure,android_temp_file,android_detect_root,android_read_write_external,android_ssl_pinning,android_insecure_random,android_sql_raw_query,android_clipboard_copy,android_webview_debug,android_webview,android_webview_ignore_ssl,android_insecure_ssl,
b'google-play-games_2021.02.24918 (362299421.362299421-000408).apk',android_insecure_random,android_logging,android_read_write_external,android_temp_file,android_md5,android_sha1,android_sql_raw_query,android_clipboard_copy,android_ssl_pinning,android_detect_root,android_hardcoded,
